cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts,season_frac,half,third,quarter,half_label,third_label,quarter_label
2014,2010,2013,14,xgb_clf,maldonado,12,15,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,xgb_ranker,perez,7,12,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,lgb_reg,raikkonen,8,15,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,ensemble,kvyat,14,10,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,ridge,kevin_magnussen,14,10,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,rf_reg,raikkonen,12,15,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,rf_clf,vergne,9,18,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,xgb_reg,kevin_magnussen,14,10,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,xgb_clf,grosjean,15,8,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,xgb_ranker,sutil,20,0,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,lgb_reg,kevin_magnussen,14,10,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,15,ensemble,raikkonen,12,15,0.7368421052631579,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,16,ridge,kevin_magnussen,5,8,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,rf_reg,massa,11,18,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,rf_clf,perez,10,25,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
2014,2010,2013,16,xgb_reg,vergne,13,12,0.7894736842105263,2,3,4,H2 (late),T3 (late),Q4 (76–100%)
