year,round,driverId,driverRef,drv_mechanical_dnf_rate
2022,22,4,alonso,0.15
2023,1,4,alonso,0.15
2023,2,4,alonso,0.15
2023,3,4,alonso,0.15
2023,4,4,alonso,0.15
2023,5,4,alonso,0.15
2023,6,4,alonso,0.15
2023,7,4,alonso,0.15
2023,8,4,alonso,0.15
2023,9,4,alonso,0.15
2023,10,4,alonso,0.15
2023,11,4,alonso,0.15
2023,12,4,alonso,0.15
2023,13,4,alonso,0.15
2023,14,4,alonso,0.15
2023,15,4,alonso,0.1
2023,16,4,alonso,0.05
2023,17,4,alonso,0.05
2023,18,4,alonso,0.05
2023,19,4,alonso,0.05
2023,20,4,alonso,0.05
2023,21,4,alonso,0.0
2023,22,4,alonso,0.0
2024,1,4,alonso,0.0
2024,2,4,alonso,0.0
2024,3,4,alonso,0.0
2024,4,4,alonso,0.0
2024,5,4,alonso,0.0
2024,6,4,alonso,0.0
2024,7,4,alonso,0.0
2024,8,4,alonso,0.0
2024,9,4,alonso,0.0
2024,10,4,alonso,0.0
2024,11,4,alonso,0.0
2024,12,4,alonso,0.0
2024,13,4,alonso,0.0
2024,14,4,alonso,0.0
2024,15,4,alonso,0.0
2024,16,4,alonso,0.0
2024,17,4,alonso,0.0
2024,18,4,alonso,0.0
2024,19,4,alonso,0.0
2024,20,4,alonso,0.0
2024,21,4,alonso,0.05
2024,22,4,alonso,0.05
2024,23,4,alonso,0.05
2024,24,4,alonso,0.05
2010,1,5,kovalainen,
2010,2,5,kovalainen,0.0
2010,3,5,kovalainen,0.0
2010,4,5,kovalainen,0.0
2010,5,5,kovalainen,0.0
2010,6,5,kovalainen,0.0
2010,7,5,kovalainen,0.16666666666666666
2010,8,5,kovalainen,0.2857142857142857
2010,9,5,kovalainen,0.25
2010,10,5,kovalainen,0.2222222222222222
2010,11,5,kovalainen,0.2
2010,12,5,kovalainen,0.18181818181818182
2010,13,5,kovalainen,0.16666666666666666
2010,14,5,kovalainen,0.15384615384615385
2010,15,5,kovalainen,0.14285714285714285
2010,16,5,kovalainen,0.13333333333333333
2010,17,5,kovalainen,0.125
2010,18,5,kovalainen,0.11764705882352941
2010,19,5,kovalainen,0.1111111111111111
2011,1,5,kovalainen,0.10526315789473684
2011,2,5,kovalainen,0.15
2011,3,5,kovalainen,0.15
2011,4,5,kovalainen,0.15
2011,5,5,kovalainen,0.15
2011,6,5,kovalainen,0.15
2011,7,5,kovalainen,0.15
2011,8,5,kovalainen,0.15
2011,9,5,kovalainen,0.1
2011,10,5,kovalainen,0.1
2011,11,5,kovalainen,0.1
2011,12,5,kovalainen,0.15
2011,13,5,kovalainen,0.15
2011,14,5,kovalainen,0.15
2011,15,5,kovalainen,0.15
2011,16,5,kovalainen,0.15
2011,17,5,kovalainen,0.15
2011,18,5,kovalainen,0.15
2011,19,5,kovalainen,0.15
2012,1,5,kovalainen,0.15
2012,2,5,kovalainen,0.2
2012,3,5,kovalainen,0.15
2012,4,5,kovalainen,0.15
2012,5,5,kovalainen,0.15
2012,6,5,kovalainen,0.15
2012,7,5,kovalainen,0.15
2012,8,5,kovalainen,0.15
2012,9,5,kovalainen,0.1
2012,10,5,kovalainen,0.1
2012,11,5,kovalainen,0.1
2012,12,5,kovalainen,0.1
2012,13,5,kovalainen,0.05
2012,14,5,kovalainen,0.05
2012,15,5,kovalainen,0.05
2012,16,5,kovalainen,0.05
2012,17,5,kovalainen,0.05
2012,18,5,kovalainen,0.05
2012,19,5,kovalainen,0.05
2012,20,5,kovalainen,0.05
2013,18,5,kovalainen,0.05
2013,19,5,kovalainen,0.0
2012,1,8,raikkonen,
2012,2,8,raikkonen,0.0
2012,3,8,raikkonen,0.0
2012,4,8,raikkonen,0.0
2012,5,8,raikkonen,0.0
2012,6,8,raikkonen,0.0
2012,7,8,raikkonen,0.0
2012,8,8,raikkonen,0.0
2012,9,8,raikkonen,0.0
2012,10,8,raikkonen,0.0
2012,11,8,raikkonen,0.0
2012,12,8,raikkonen,0.0
2012,13,8,raikkonen,0.0
2012,14,8,raikkonen,0.0
2012,15,8,raikkonen,0.0
2012,16,8,raikkonen,0.0
2012,17,8,raikkonen,0.0
2012,18,8,raikkonen,0.0
2012,19,8,raikkonen,0.0
2012,20,8,raikkonen,0.0
2013,1,8,raikkonen,0.0
2013,2,8,raikkonen,0.0
2013,3,8,raikkonen,0.0
2013,4,8,raikkonen,0.0
2013,5,8,raikkonen,0.0
2013,6,8,raikkonen,0.0
2013,7,8,raikkonen,0.0
2013,8,8,raikkonen,0.0
2013,9,8,raikkonen,0.0
2013,10,8,raikkonen,0.0
2013,11,8,raikkonen,0.0
2013,12,8,raikkonen,0.05
2013,13,8,raikkonen,0.05
2013,14,8,raikkonen,0.05
2013,15,8,raikkonen,0.05
2013,16,8,raikkonen,0.05
2013,17,8,raikkonen,0.05
2014,1,8,raikkonen,0.05
2014,2,8,raikkonen,0.05
2014,3,8,raikkonen,0.05
2014,4,8,raikkonen,0.05
2014,5,8,raikkonen,0.05
2014,6,8,raikkonen,0.05
2014,7,8,raikkonen,0.05
2014,8,8,raikkonen,0.05
2014,9,8,raikkonen,0.05
2014,10,8,raikkonen,0.05
2014,11,8,raikkonen,0.05
