year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,10,Canadian Grand Prix,rf_clf,hadjar,hadjar,sainz,16,16,6,6,0,False,both
2025,11,Austrian Grand Prix,rf_clf,hadjar,albon,ocon,12,17,15,4,-11,True,both
2025,12,British Grand Prix,rf_clf,bearman,bearman,russell,11,11,18,18,0,False,both
2025,13,Belgian Grand Prix,rf_clf,ocon,hulkenberg,gasly,15,12,8,15,7,True,both
2025,14,Hungarian Grand Prix,rf_clf,hadjar,hadjar,antonelli,11,11,18,18,0,False,both
2025,15,Dutch Grand Prix,rf_clf,alonso,albon,ocon,8,5,15,8,-7,True,both
2025,16,Italian Grand Prix,rf_clf,albon,albon,hadjar,7,7,12,12,0,False,both
2025,17,Azerbaijan Grand Prix,rf_clf,alonso,alonso,hadjar,15,15,8,8,0,False,both
2025,18,Singapore Grand Prix,rf_clf,bearman,lawson,sainz,9,15,18,8,-10,True,both
2025,19,United States Grand Prix,rf_clf,lawson,lawson,alonso,11,11,18,18,0,False,both
2025,20,Mexico City Grand Prix,rf_clf,bearman,tsunoda,bortoleto,4,11,6,18,12,True,both
2025,21,São Paulo Grand Prix,rf_clf,albon,albon,gasly,11,11,18,18,0,False,both
2025,22,Las Vegas Grand Prix,rf_clf,bearman,hulkenberg,bearman,10,7,25,12,-13,True,both
2025,23,Qatar Grand Prix,rf_clf,bearman,bearman,tsunoda,19,19,1,1,0,False,both
2025,24,Abu Dhabi Grand Prix,rf_clf,sainz,sainz,stroll,13,13,12,12,0,False,both
2025,1,Australian Grand Prix,rf_reg,sainz,sainz,hamilton,18,18,2,2,0,False,both
2025,2,Chinese Grand Prix,rf_reg,albon,hadjar,sainz,7,11,12,18,6,True,both
2025,3,Japanese Grand Prix,rf_reg,hamilton,hamilton,bearman,7,7,12,12,0,False,both
