eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_A_rf_lgb,2024,6,xgb_clf,stroll,17,4,A_rf_lgb
cv_A_rf_lgb,2024,6,xgb_ranker,stroll,17,4,A_rf_lgb
cv_A_rf_lgb,2024,6,lgb_reg,alonso,9,18,A_rf_lgb
cv_A_rf_lgb,2024,6,lgbm_ranker,stroll,17,4,A_rf_lgb
cv_A_rf_lgb,2024,6,ensemble,stroll,17,4,A_rf_lgb
cv_A_rf_lgb,2024,6,ensemble_test,stroll,17,4,A_rf_lgb
cv_A_rf_lgb,2024,7,ridge,tsunoda,10,25,A_rf_lgb
cv_A_rf_lgb,2024,7,rf_reg,hamilton,6,10,A_rf_lgb
cv_A_rf_lgb,2024,7,rf_clf,ocon,14,10,A_rf_lgb
cv_A_rf_lgb,2024,7,xgb_reg,tsunoda,10,25,A_rf_lgb
cv_A_rf_lgb,2024,7,xgb_clf,tsunoda,10,25,A_rf_lgb
cv_A_rf_lgb,2024,7,xgb_ranker,alonso,19,1,A_rf_lgb
cv_A_rf_lgb,2024,7,lgb_reg,ricciardo,13,12,A_rf_lgb
cv_A_rf_lgb,2024,7,lgbm_ranker,ocon,14,10,A_rf_lgb
cv_A_rf_lgb,2024,7,ensemble,ocon,14,10,A_rf_lgb
cv_A_rf_lgb,2024,7,ensemble_test,hulkenberg,11,18,A_rf_lgb
cv_A_rf_lgb,2024,8,ridge,tsunoda,8,15,A_rf_lgb
cv_A_rf_lgb,2024,8,rf_reg,tsunoda,8,15,A_rf_lgb
cv_A_rf_lgb,2024,8,rf_clf,stroll,14,10,A_rf_lgb
cv_A_rf_lgb,2024,8,xgb_reg,tsunoda,8,15,A_rf_lgb
cv_A_rf_lgb,2024,8,xgb_clf,gasly,10,25,A_rf_lgb
cv_A_rf_lgb,2024,8,xgb_ranker,gasly,10,25,A_rf_lgb
cv_A_rf_lgb,2024,8,lgb_reg,perez,18,2,A_rf_lgb
cv_A_rf_lgb,2024,8,lgbm_ranker,gasly,10,25,A_rf_lgb
cv_A_rf_lgb,2024,8,ensemble,gasly,10,25,A_rf_lgb
cv_A_rf_lgb,2024,8,ensemble_test,gasly,10,25,A_rf_lgb
cv_A_rf_lgb,2024,9,ridge,perez,18,2,A_rf_lgb
cv_A_rf_lgb,2024,9,rf_reg,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,rf_clf,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,xgb_reg,sainz,16,6,A_rf_lgb
cv_A_rf_lgb,2024,9,xgb_clf,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,xgb_ranker,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,lgb_reg,tsunoda,14,10,A_rf_lgb
cv_A_rf_lgb,2024,9,lgbm_ranker,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,ensemble,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,9,ensemble_test,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,10,ridge,gasly,9,18,A_rf_lgb
cv_A_rf_lgb,2024,10,rf_reg,gasly,9,18,A_rf_lgb
cv_A_rf_lgb,2024,10,rf_clf,stroll,14,10,A_rf_lgb
cv_A_rf_lgb,2024,10,xgb_reg,gasly,9,18,A_rf_lgb
cv_A_rf_lgb,2024,10,xgb_clf,ocon,10,25,A_rf_lgb
cv_A_rf_lgb,2024,10,xgb_ranker,ocon,10,25,A_rf_lgb
cv_A_rf_lgb,2024,10,lgb_reg,piastri,7,12,A_rf_lgb
cv_A_rf_lgb,2024,10,lgbm_ranker,ocon,10,25,A_rf_lgb
cv_A_rf_lgb,2024,10,ensemble,ocon,10,25,A_rf_lgb
cv_A_rf_lgb,2024,10,ensemble_test,ocon,10,25,A_rf_lgb
cv_A_rf_lgb,2024,11,ridge,hulkenberg,6,10,A_rf_lgb
cv_A_rf_lgb,2024,11,rf_reg,hulkenberg,6,10,A_rf_lgb
cv_A_rf_lgb,2024,11,rf_clf,ricciardo,9,18,A_rf_lgb
cv_A_rf_lgb,2024,11,xgb_reg,piastri,2,2,A_rf_lgb
cv_A_rf_lgb,2024,11,xgb_clf,tsunoda,14,10,A_rf_lgb
cv_A_rf_lgb,2024,11,xgb_ranker,stroll,13,12,A_rf_lgb
cv_A_rf_lgb,2024,11,lgb_reg,piastri,2,2,A_rf_lgb
cv_A_rf_lgb,2024,11,lgbm_ranker,stroll,13,12,A_rf_lgb
cv_A_rf_lgb,2024,11,ensemble,ricciardo,9,18,A_rf_lgb
cv_A_rf_lgb,2024,11,ensemble_test,ricciardo,9,18,A_rf_lgb
cv_A_rf_lgb,2024,12,ridge,hulkenberg,6,10,A_rf_lgb
cv_A_rf_lgb,2024,12,rf_reg,perez,17,4,A_rf_lgb
cv_A_rf_lgb,2024,12,rf_clf,alonso,8,15,A_rf_lgb
cv_A_rf_lgb,2024,12,xgb_reg,piastri,4,6,A_rf_lgb
cv_A_rf_lgb,2024,12,xgb_clf,albon,9,18,A_rf_lgb
cv_A_rf_lgb,2024,12,xgb_ranker,stroll,7,12,A_rf_lgb
cv_A_rf_lgb,2024,12,lgb_reg,perez,17,4,A_rf_lgb
